STD
10. līnija 1, Jūrmala, LV-2010
13. līnija 7, Jūrmala, LV-2010
18. līnija 1, Jūrmala, LV-2010
18. līnija 3A, Jūrmala, LV-2010
19. līnija 2, Jūrmala, LV-2010
1905. gada iela 1, Jūrmala, LV-2011
1905. gada iela 14, Jūrmala, LV-2011
1905. gada iela 15, Jūrmala, LV-2011
1905. gada iela 18, Jūrmala, LV-2011
1905. gada iela 19, Jūrmala, LV-2011
1905. gada iela 2, Jūrmala, LV-2011
1905. gada iela 21, Jūrmala, LV-2011
1905. gada iela 25, Jūrmala, LV-2011
1905. gada iela 29, Jūrmala, LV-2011
1905. gada iela 30, Jūrmala, LV-2011
1905. gada iela 33, Jūrmala, LV-2011
1905. gada iela 34, Jūrmala, LV-2011
1905. gada iela 5, Jūrmala, LV-2011
1905. gada iela 6, Jūrmala, LV-2011
1905. gada iela 9, Jūrmala, LV-2011
20. līnija 3, Jūrmala, LV-2010
29. līnija 1, Jūrmala, LV-2010
Abavas iela 12, Jūrmala, LV-2015
Abavas iela 5, Jūrmala, LV-2015
Abavas iela 6, Jūrmala, LV-2015
Abavas iela 9, Jūrmala, LV-2015
Admirāļu iela 6, Jūrmala, LV-2015
Aglonas iela 3, Jūrmala, LV-2015
Aiviekstes iela 1, Jūrmala, LV-2015
Aizputes iela 12 k-1, Jūrmala, LV-2010
Aizputes iela 18, Jūrmala, LV-2010
Aizputes iela 20, Jūrmala, LV-2010
Aizputes iela 9, Jūrmala, LV-2010
Akāciju iela 10, Jūrmala, LV-2011
Akāciju iela 2, Jūrmala, LV-2011
Akāciju iela 3, Jūrmala, LV-2011
Akāciju iela 5, Jūrmala, LV-2011
Akāciju iela 8, Jūrmala, LV-2011
Aspazijas iela 1, Jūrmala, LV-2015
Aspazijas iela 3, Jūrmala, LV-2015
Aspazijas iela 5, Jūrmala, LV-2015
Alauksta iela 4, Jūrmala, LV-2015
Alberta Kronenberga iela 11, Jūrmala, LV-2011
Alberta Kronenberga iela 2A, Jūrmala, LV-2011
Alberta Kronenberga iela 3, Jūrmala, LV-2011
Alberta Kronenberga iela 4, Jūrmala, LV-2011
Alberta Kronenberga iela 6, Jūrmala, LV-2011
Alberta Kronenberga iela 7, Jūrmala, LV-2011
Alberta Kronenberga iela 9, Jūrmala, LV-2011
Alejas iela 11A, Jūrmala, LV-2012
Alejas iela 12, Jūrmala, LV-2012
Alejas iela 14, Jūrmala, LV-2012
Alejas iela 15, Jūrmala, LV-2012
Alejas iela 16, Jūrmala, LV-2012
Alejas iela 2A, Jūrmala, LV-2012
Alejas iela 4, Jūrmala, LV-2012
Alejas iela 8 k-2, Jūrmala, LV-2012
Alejas iela 9, Jūrmala, LV-2012
Alejas iela 9 k-1, Jūrmala, LV-2012
Alfrēda Amtmaņa-Briedīša iela 17, Jūrmala, LV-2008
Alfrēda Amtmaņa-Briedīša iela 7, Jūrmala, LV-2008
Alfrēda Kalniņa iela 1, Jūrmala, LV-2011
Alfrēda Kalniņa iela 3, Jūrmala, LV-2011
Alfrēda Kalniņa iela 5, Jūrmala, LV-2011
Alkšņu iela 6, Jūrmala, LV-2008
Amatas iela 12, Jūrmala, LV-2008
Amatas iela 5A, Jūrmala, LV-2008
Amulas iela 2, Jūrmala, LV-2015
Amulas iela 2 k-2, Jūrmala, LV-2015
Amulas iela 2 k-3, Jūrmala, LV-2015
Amulas iela 2A, Jūrmala, LV-2015
Andreja iela 6, Jūrmala, LV-2008
Andreja iela 6B, Jūrmala, LV-2008
Andreja iela 6C, Jūrmala, LV-2008
Andreja iela 8, Jūrmala, LV-2008
Andreja iela 8A, Jūrmala, LV-2008
Andreja iela 9, Jūrmala, LV-2008
Andreja Upīša iela 1, Jūrmala, LV-2012
Andreja Upīša iela 11, Jūrmala, LV-2012
Andreja Upīša iela 12, Jūrmala, LV-2012
Andreja Upīša iela 12A, Jūrmala, LV-2012
Andreja Upīša iela 13, Jūrmala, LV-2012
Andreja Upīša iela 15 k-2, Jūrmala, LV-2012
Andreja Upīša iela 1A, Jūrmala, LV-2012
Andreja Upīša iela 2, Jūrmala, LV-2012
Andreja Upīša iela 20, Jūrmala, LV-2012
Andreja Upīša iela 3, Jūrmala, LV-2012
Andreja Upīša iela 4, Jūrmala, LV-2012
Pētera Pāvila iela 4, Jūrmala, LV-2012
Apšu iela 2, Jūrmala, LV-2015
Apes iela 11, Jūrmala, LV-2011
Apes iela 15, Jūrmala, LV-2011
Apes iela 18, Jūrmala, LV-2011
Apes iela 3, Jūrmala, LV-2011
Apes iela 6, Jūrmala, LV-2011
Apes iela 7, Jūrmala, LV-2011
Apiņu iela 3, Jūrmala, LV-2015
Apiņu iela 3A, Jūrmala, LV-2015
Zvejas iela 23, Jūrmala, LV-2015
Apiņu iela 5A, Jūrmala, LV-2015
Apiņu iela 6, Jūrmala, LV-2015
Ārijas iela 2, Jūrmala, LV-2008
Ārijas iela 3, Jūrmala, LV-2008
Artilērijas iela 11, Jūrmala, LV-2011
Artilērijas iela 3, Jūrmala, LV-2011
Artilērijas iela 7, Jūrmala, LV-2011
Artūra iela 10, Jūrmala, LV-2008
Artūra iela 14, Jūrmala, LV-2008
Artūra iela 3, Jūrmala, LV-2008
Artūra iela 3A, Jūrmala, LV-2008
Artūra iela 5, Jūrmala, LV-2008
Artūra iela 8, Jūrmala, LV-2008
Artūra iela 9, Jūrmala, LV-2008
Asaru prospekts 1, Jūrmala, LV-2008
Asaru prospekts 11, Jūrmala, LV-2008
Asaru prospekts 12, Jūrmala, LV-2008
Asaru prospekts 13, Jūrmala, LV-2008
Asaru prospekts 16/18, Jūrmala, LV-2008
Asaru prospekts 1A, Jūrmala, LV-2008
Asaru prospekts 2, Jūrmala, LV-2008
Asaru prospekts 21, Jūrmala, LV-2008
Asaru prospekts 27, Jūrmala, LV-2008
Asaru prospekts 29, Jūrmala, LV-2008
Asaru prospekts 30, Jūrmala, LV-2008
Asaru prospekts 35, Jūrmala, LV-2008
Asaru prospekts 37, Jūrmala, LV-2008
Asaru prospekts 39, Jūrmala, LV-2008
Asaru prospekts 4, Jūrmala, LV-2008
Asaru prospekts 41, Jūrmala, LV-2008
Asaru prospekts 44, Jūrmala, LV-2008
Asaru prospekts 56, Jūrmala, LV-2008
Asaru prospekts 58, Jūrmala, LV-2008
Asaru prospekts 6, Jūrmala, LV-2008
Asaru prospekts 61, Jūrmala, LV-2008
Asaru prospekts 66, Jūrmala, LV-2008
Asaru prospekts 68, Jūrmala, LV-2008
Asaru prospekts 70, Jūrmala, LV-2008
Asaru prospekts 72, Jūrmala, LV-2008
Asaru prospekts 72A, Jūrmala, LV-2008
Asnu iela 1, Jūrmala, LV-2011
Asnu iela 3, Jūrmala, LV-2011
Asnu iela 5, Jūrmala, LV-2011
Atbalss iela 1, Jūrmala, LV-2008
Atbalss iela 11A, Jūrmala, LV-2011
Atbalss iela 14, Jūrmala, LV-2011
Atbalss iela 15, Jūrmala, LV-2011
Atbalss iela 17, Jūrmala, LV-2011
Atbalss iela 19, Jūrmala, LV-2011
Atbalss iela 19A, Jūrmala, LV-2011
Atbalss iela 4, Jūrmala, LV-2011
Atbalss iela 6, Jūrmala, LV-2011
Atbalss iela 8, Jūrmala, LV-2011
Atbalss iela 9, Jūrmala, LV-2011
Ātrā iela 6 k-2, Jūrmala, LV-2015
Ātrā iela 8, Jūrmala, LV-2015
Audēju iela 2, Jūrmala, LV-2011
Ziedoņa iela 6, Jūrmala, LV-2012
Augļu iela 10, Jūrmala, LV-2012
Augļu iela 11, Jūrmala, LV-2012
Augļu iela 12, Jūrmala, LV-2012
Augļu iela 13, Jūrmala, LV-2012
Augļu iela 14, Jūrmala, LV-2012
Augļu iela 1A, Jūrmala, LV-2012
Augļu iela 2, Jūrmala, LV-2012
Augļu iela 3, Jūrmala, LV-2012
Augļu iela 4, Jūrmala, LV-2012
